domain,for_sale,price,description,owner,expiry,email,unicode,descript-IDNA,translate-IDNA,tags
example,True,100.0,Example domain,owner1,2025-12-31,seller@example.com,,,,
xn--e1afmkfd,True,250.0,Premium unicode domain,owner1,2025-12-31,seller@example.com,пример,,,"PUNY_IDNA,Cyrillic"
testdomain,False,0.0,Not for sale,owner2,2025-11-30,,,,,
xn--wgbh1c,True,500.0,Arabic domain,owner3,2026-01-15,owner@mail.com,مصر,,,"PUNY_IDNA,Arabic"
demo-name,True,75.0,Demo purposes,owner1,2025-10-20,demo@example.com,,,,
myname,False,0.0,Personal domain,owner4,2025-12-01,,,,,
xn--mgbaam7a8h,True,300.0,Emoji domain,owner1,2025-12-31,seller@example.com,امارات,,,"PUNY_IDNA,Arabic"
blockchain,True,1000.0,Premium keyword,owner5,2026-03-15,premium@domains.com,,,,
web3domain,True,200.0,Web3 related,owner1,2025-12-31,seller@example.com,,,,
xn--80akhbyknj4f,True,400.0,Russian domain,owner3,2026-02-10,owner@mail.com,испытание,,,"PUNY_IDNA,Cyrillic"
